workload_id,benchmark,description,conflict,algorithm,query_model,best_order,normalized_cost,max_intermediate_rows,max_intermediate_mib,cache_crossings,skew_factor,heuristic_order,heuristic_cost,heuristic_slowdown
TPCH-2,TPC-H,链式收缩型,经典早过滤是否应先靠近高选择性节点,Vector Join,vectorized,PART -> LINEITEM -> ORDERS -> CUSTOMER,0.2907,47040,5.74,0,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,0.2907,1.0
TPCH-3,TPC-H,早期1%强过滤,强过滤节点不在链端时的join order选择,Sort-Merge Join,materialized,ORDERS -> LINEITEM -> PART -> CUSTOMER,6.6102,24000,2.93,1,1.0,ORDERS -> CUSTOMER -> LINEITEM -> PART,6.6519,1.006
TPCH-3,TPC-H,早期1%强过滤,强过滤节点不在链端时的join order选择,Partitioned Radix Hash Join,materialized,ORDERS -> LINEITEM -> PART -> CUSTOMER,0.4308,24000,2.93,1,1.0,ORDERS -> CUSTOMER -> LINEITEM -> PART,0.4345,1.009
TPCH-3,TPC-H,早期1%强过滤,强过滤节点不在链端时的join order选择,No-Partition Hash Join,row-pipeline,ORDERS -> LINEITEM -> PART -> CUSTOMER,0.308,24000,2.93,1,1.0,ORDERS -> CUSTOMER -> LINEITEM -> PART,0.3101,1.007
TPCH-3,TPC-H,早期1%强过滤,强过滤节点不在链端时的join order选择,Vector Join,vectorized,ORDERS -> LINEITEM -> PART -> CUSTOMER,0.2351,24000,2.93,1,1.0,ORDERS -> CUSTOMER -> LINEITEM -> PART,0.2368,1.007
TPCH-4,TPC-H,小表弱过滤与大表强过滤冲突,保留率、表规模、连接位置三者冲突,Sort-Merge Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,33.0307,1209600,147.66,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,51.1672,1.549
TPCH-4,TPC-H,小表弱过滤与大表强过滤冲突,保留率、表规模、连接位置三者冲突,Partitioned Radix Hash Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,2.2502,1209600,147.66,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,3.289,1.462
TPCH-4,TPC-H,小表弱过滤与大表强过滤冲突,保留率、表规模、连接位置三者冲突,No-Partition Hash Join,row-pipeline,PART -> LINEITEM -> ORDERS -> CUSTOMER,1.6081,1209600,147.66,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,2.4709,1.536
TPCH-4,TPC-H,小表弱过滤与大表强过滤冲突,保留率、表规模、连接位置三者冲突,Vector Join,vectorized,PART -> LINEITEM -> ORDERS -> CUSTOMER,1.0729,1209600,147.66,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,1.5471,1.442
TPCH-5,TPC-H,ORDERS与LINEITEM早join产生大中间结果,避免爆炸型early join是否比局部最小输入更重要,Sort-Merge Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,86.7706,877230,107.08,3,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,86.7706,1.0
TPCH-5,TPC-H,ORDERS与LINEITEM早join产生大中间结果,避免爆炸型early join是否比局部最小输入更重要,Partitioned Radix Hash Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,4.1665,877230,107.08,3,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,4.1665,1.0
TPCH-5,TPC-H,ORDERS与LINEITEM早join产生大中间结果,避免爆炸型early join是否比局部最小输入更重要,No-Partition Hash Join,row-pipeline,PART -> LINEITEM -> ORDERS -> CUSTOMER,3.7162,877230,107.08,3,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,3.7162,1.0
TPCH-5,TPC-H,ORDERS与LINEITEM早join产生大中间结果,避免爆炸型early join是否比局部最小输入更重要,Vector Join,vectorized,PART -> LINEITEM -> ORDERS -> CUSTOMER,2.1737,877230,107.08,3,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,2.1737,1.0
TPCH-6,TPC-H,cache边界敏感型,cache内join优先与高缩减join优先的冲突,Sort-Merge Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,34.2556,235200,28.71,1,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,34.2556,1.0
TPCH-6,TPC-H,cache边界敏感型,cache内join优先与高缩减join优先的冲突,Partitioned Radix Hash Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,1.7638,235200,28.71,1,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,1.7638,1.0
TPCH-6,TPC-H,cache边界敏感型,cache内join优先与高缩减join优先的冲突,No-Partition Hash Join,row-pipeline,PART -> LINEITEM -> ORDERS -> CUSTOMER,1.48,235200,28.71,1,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,1.48,1.0
TPCH-6,TPC-H,cache边界敏感型,cache内join优先与高缩减join优先的冲突,Vector Join,vectorized,PART -> LINEITEM -> ORDERS -> CUSTOMER,0.9299,235200,28.71,1,1.0,PART -> LINEITEM -> ORDERS -> CUSTOMER,0.9299,1.0
